InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,YearMonth
555158,22423,REGENCY CAKESTAND 3 TIER,2,2011-06-01 08:38:00,12.75,14842.0,United Kingdom,06_2011
555158,23172,REGENCY TEA PLATE PINK,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom,06_2011
555158,23171,REGENCY TEA PLATE GREEN ,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom,06_2011
555158,23170,REGENCY TEA PLATE ROSES ,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom,06_2011
555158,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom,06_2011
555158,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom,06_2011
555158,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom,06_2011
555158,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-06-01 08:38:00,0.55,14842.0,United Kingdom,06_2011
555158,22781,GUMBALL MAGAZINE RACK,2,2011-06-01 08:38:00,7.65,14842.0,United Kingdom,06_2011
555158,22467,GUMBALL COAT RACK,6,2011-06-01 08:38:00,2.55,14842.0,United Kingdom,06_2011
555158,22193,RED DINER WALL CLOCK,2,2011-06-01 08:38:00,8.5,14842.0,United Kingdom,06_2011
555158,22191,IVORY DINER WALL CLOCK,2,2011-06-01 08:38:00,8.5,14842.0,United Kingdom,06_2011
555158,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom,06_2011
555158,22728,ALARM CLOCK BAKELIKE PINK,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom,06_2011
555158,22727,ALARM CLOCK BAKELIKE RED ,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom,06_2011
555158,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-06-01 08:38:00,0.85,14842.0,United Kingdom,06_2011
555158,23144,ZINC T-LIGHT HOLDER STARS SMALL,12,2011-06-01 08:38:00,0.83,14842.0,United Kingdom,06_2011
555158,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-06-01 08:38:00,0.65,14842.0,United Kingdom,06_2011
555158,48194,DOORMAT HEARTS,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,48138,DOORMAT UNION FLAG,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,48111,DOORMAT 3 SMILEY CATS,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,48188,DOORMAT WELCOME PUPPIES,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,23284,DOORMAT KEEP CALM AND COME IN,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,23283,DOORMAT VINTAGE LEAVES DESIGN ,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom,06_2011
555158,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-06-01 08:38:00,1.69,14842.0,United Kingdom,06_2011
555158,22501,PICNIC BASKET WICKER LARGE,2,2011-06-01 08:38:00,9.95,14842.0,United Kingdom,06_2011
555159,22916,HERB MARKER THYME,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22919,HERB MARKER MINT,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22917,HERB MARKER ROSEMARY,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22920,HERB MARKER BASIL,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22918,HERB MARKER PARSLEY,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22921,HERB MARKER CHIVES ,12,2011-06-01 09:06:00,0.65,15124.0,United Kingdom,06_2011
555159,22961,JAM MAKING SET PRINTED,12,2011-06-01 09:06:00,1.45,15124.0,United Kingdom,06_2011
555159,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-06-01 09:06:00,4.15,15124.0,United Kingdom,06_2011
555159,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-06-01 09:06:00,9.95,15124.0,United Kingdom,06_2011
555160,22383,LUNCH BAG SUKI DESIGN ,100,2011-06-01 09:18:00,1.45,14646.0,Netherlands,06_2011
555160,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,72,2011-06-01 09:18:00,3.75,14646.0,Netherlands,06_2011
555160,23256,CHILDRENS CUTLERY SPACEBOY ,72,2011-06-01 09:18:00,3.75,14646.0,Netherlands,06_2011
555160,21731,RED TOADSTOOL LED NIGHT LIGHT,144,2011-06-01 09:18:00,1.45,14646.0,Netherlands,06_2011
555160,21930,JUMBO STORAGE BAG SKULLS,100,2011-06-01 09:18:00,1.79,14646.0,Netherlands,06_2011
555160,23204,CHARLOTTE BAG APPLES DESIGN,100,2011-06-01 09:18:00,0.72,14646.0,Netherlands,06_2011
555160,23205,CHARLOTTE BAG VINTAGE ALPHABET ,200,2011-06-01 09:18:00,0.72,14646.0,Netherlands,06_2011
555160,21578,WOODLAND DESIGN  COTTON TOTE BAG,60,2011-06-01 09:18:00,2.25,14646.0,Netherlands,06_2011
555160,22629,SPACEBOY LUNCH BOX ,64,2011-06-01 09:18:00,1.65,14646.0,Netherlands,06_2011
555160,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,2011-06-01 09:18:00,2.55,14646.0,Netherlands,06_2011
555160,20752,BLUE POLKADOT WASHING UP GLOVES,12,2011-06-01 09:18:00,2.1,14646.0,Netherlands,06_2011
555160,22625,RED KITCHEN SCALES,2,2011-06-01 09:18:00,8.5,14646.0,Netherlands,06_2011
555160,22630,DOLLY GIRL LUNCH BOX,64,2011-06-01 09:18:00,1.65,14646.0,Netherlands,06_2011
555161,23281,FOLDING BUTTERFLY MIRROR RED  ,12,2011-06-01 09:26:00,0.83,12423.0,Belgium,06_2011
555161,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-06-01 09:26:00,0.85,12423.0,Belgium,06_2011
555161,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-06-01 09:26:00,0.85,12423.0,Belgium,06_2011
555161,23084,RABBIT NIGHT LIGHT,24,2011-06-01 09:26:00,1.79,12423.0,Belgium,06_2011
555161,POST,POSTAGE,1,2011-06-01 09:26:00,15.0,12423.0,Belgium,06_2011
555162,21498,RED RETROSPOT WRAP ,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,21499,BLUE POLKADOT WRAP,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,23203,JUMBO BAG DOILEY PATTERNS,10,2011-06-01 10:15:00,2.08,12473.0,Germany,06_2011
555162,22082,RIBBON REEL STRIPES DESIGN ,10,2011-06-01 10:15:00,1.65,12473.0,Germany,06_2011
555162,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-06-01 10:15:00,3.25,12473.0,Germany,06_2011
555162,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-06-01 10:15:00,0.85,12473.0,Germany,06_2011
555162,23206,LUNCH BAG APPLE DESIGN,10,2011-06-01 10:15:00,1.65,12473.0,Germany,06_2011
555162,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,2011-06-01 10:15:00,3.25,12473.0,Germany,06_2011
555162,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-06-01 10:15:00,1.25,12473.0,Germany,06_2011
555162,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-06-01 10:15:00,1.25,12473.0,Germany,06_2011
555162,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-06-01 10:15:00,1.25,12473.0,Germany,06_2011
555162,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-06-01 10:15:00,0.65,12473.0,Germany,06_2011
555162,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-06-01 10:15:00,7.95,12473.0,Germany,06_2011
555162,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-06-01 10:15:00,1.69,12473.0,Germany,06_2011
555162,22432,WATERING CAN PINK BUNNY,6,2011-06-01 10:15:00,1.95,12473.0,Germany,06_2011
555162,22433,WATERING CAN GREEN DINOSAUR,6,2011-06-01 10:15:00,1.95,12473.0,Germany,06_2011
555162,22431,WATERING CAN BLUE ELEPHANT,6,2011-06-01 10:15:00,1.95,12473.0,Germany,06_2011
555162,23010,CIRCUS PARADE BABY GIFT SET,3,2011-06-01 10:15:00,16.95,12473.0,Germany,06_2011
555162,22418,10 COLOUR SPACEBOY PEN,24,2011-06-01 10:15:00,0.85,12473.0,Germany,06_2011
555162,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-06-01 10:15:00,2.95,12473.0,Germany,06_2011
555162,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-06-01 10:15:00,2.95,12473.0,Germany,06_2011
555162,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-06-01 10:15:00,1.65,12473.0,Germany,06_2011
555162,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-06-01 10:15:00,1.65,12473.0,Germany,06_2011
555162,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-06-01 10:15:00,0.29,12473.0,Germany,06_2011
555162,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,22741,FUNKY DIVA PEN,48,2011-06-01 10:15:00,0.85,12473.0,Germany,06_2011
555162,22740,POLKADOT PEN,48,2011-06-01 10:15:00,0.85,12473.0,Germany,06_2011
555162,20981,12 PENCILS TALL TUBE WOODLAND,12,2011-06-01 10:15:00,0.85,12473.0,Germany,06_2011
555162,22584,PACK OF 6 PANNETONE GIFT BOXES,6,2011-06-01 10:15:00,2.55,12473.0,Germany,06_2011
555162,22813,PACK 3 BOXES BIRD PANNETONE ,12,2011-06-01 10:15:00,1.95,12473.0,Germany,06_2011
555162,22045,SPACEBOY GIFT WRAP,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,22704,WRAP RED APPLES ,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,22704,WRAP RED APPLES ,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,23233,WRAP POPPIES  DESIGN,25,2011-06-01 10:15:00,0.42,12473.0,Germany,06_2011
555162,POST,POSTAGE,4,2011-06-01 10:15:00,18.0,12473.0,Germany,06_2011
C555163,POST,POSTAGE,-2,2011-06-01 10:18:00,18.0,12473.0,Germany,06_2011
555164,23170,REGENCY TEA PLATE ROSES ,96,2011-06-01 10:24:00,1.45,14646.0,Netherlands,06_2011
555164,23173,REGENCY TEAPOT ROSES ,12,2011-06-01 10:24:00,8.15,14646.0,Netherlands,06_2011
555164,23174,REGENCY SUGAR BOWL GREEN,72,2011-06-01 10:24:00,3.75,14646.0,Netherlands,06_2011
555164,23175,REGENCY MILK JUG PINK ,72,2011-06-01 10:24:00,2.75,14646.0,Netherlands,06_2011
555164,22385,JUMBO BAG SPACEBOY DESIGN,100,2011-06-01 10:24:00,1.79,14646.0,Netherlands,06_2011
555164,20712,JUMBO BAG WOODLAND ANIMALS,200,2011-06-01 10:24:00,1.79,14646.0,Netherlands,06_2011
555164,23207,LUNCH BAG ALPHABET DESIGN,100,2011-06-01 10:24:00,1.45,14646.0,Netherlands,06_2011
555164,22848,BREAD BIN DINER STYLE PINK,12,2011-06-01 10:24:00,14.95,14646.0,Netherlands,06_2011
555164,22631,CIRCUS PARADE LUNCH BOX ,192,2011-06-01 10:24:00,1.65,14646.0,Netherlands,06_2011
555164,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,240,2011-06-01 10:24:00,2.55,14646.0,Netherlands,06_2011
555164,20724,RED RETROSPOT CHARLOTTE BAG,100,2011-06-01 10:24:00,0.72,14646.0,Netherlands,06_2011
555164,22629,SPACEBOY LUNCH BOX ,320,2011-06-01 10:24:00,1.65,14646.0,Netherlands,06_2011
555164,22630,DOLLY GIRL LUNCH BOX,320,2011-06-01 10:24:00,1.65,14646.0,Netherlands,06_2011
555194,21988,PACK OF 6 SKULL PAPER PLATES,96,2011-06-01 11:13:00,0.64,16422.0,United Kingdom,06_2011
555194,21989,PACK OF 20 SKULL PAPER NAPKINS,96,2011-06-01 11:13:00,0.72,16422.0,United Kingdom,06_2011
555194,21243,PINK  POLKADOT PLATE ,96,2011-06-01 11:13:00,1.45,16422.0,United Kingdom,06_2011
555194,21380,WOODEN HAPPY BIRTHDAY GARLAND,12,2011-06-01 11:13:00,2.95,16422.0,United Kingdom,06_2011
555194,22090,PAPER BUNTING RETROSPOT,40,2011-06-01 11:13:00,2.55,16422.0,United Kingdom,06_2011
555194,22088,PAPER BUNTING COLOURED LACE,40,2011-06-01 11:13:00,2.55,16422.0,United Kingdom,06_2011
555194,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,144,2011-06-01 11:13:00,0.55,16422.0,United Kingdom,06_2011
555195,23084,RABBIT NIGHT LIGHT,6,2011-06-01 11:27:00,2.08,15240.0,United Kingdom,06_2011
555195,23100,SILVER BELLS TABLE DECORATION,12,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,23112,PARISIENNE CURIO CABINET,2,2011-06-01 11:27:00,7.5,15240.0,United Kingdom,06_2011
555195,22423,REGENCY CAKESTAND 3 TIER,1,2011-06-01 11:27:00,12.75,15240.0,United Kingdom,06_2011
555195,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-06-01 11:27:00,2.95,15240.0,United Kingdom,06_2011
555195,22469,HEART OF WICKER SMALL,40,2011-06-01 11:27:00,1.45,15240.0,United Kingdom,06_2011
555195,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-06-01 11:27:00,2.95,15240.0,United Kingdom,06_2011
555195,21668,RED STRIPE CERAMIC DRAWER KNOB,36,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,21671,RED SPOT CERAMIC DRAWER KNOB,24,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,21877,HOME SWEET HOME MUG,12,2011-06-01 11:27:00,1.25,15240.0,United Kingdom,06_2011
555195,22961,JAM MAKING SET PRINTED,12,2011-06-01 11:27:00,1.45,15240.0,United Kingdom,06_2011
555195,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-06-01 11:27:00,4.95,15240.0,United Kingdom,06_2011
555195,21843,RED RETROSPOT CAKE STAND,1,2011-06-01 11:27:00,10.95,15240.0,United Kingdom,06_2011
555195,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-06-01 11:27:00,2.95,15240.0,United Kingdom,06_2011
555195,23203,JUMBO BAG DOILEY PATTERNS,10,2011-06-01 11:27:00,2.08,15240.0,United Kingdom,06_2011
555195,16161P,WRAP ENGLISH ROSE ,25,2011-06-01 11:27:00,0.42,15240.0,United Kingdom,06_2011
555195,79321,CHILLI LIGHTS,4,2011-06-01 11:27:00,5.75,15240.0,United Kingdom,06_2011
555195,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-06-01 11:27:00,6.25,15240.0,United Kingdom,06_2011
C555196,85213,MINI  ZINC GARDEN DECORATIONS ,-1,2011-06-01 11:40:00,0.85,14606.0,United Kingdom,06_2011
C555196,22507,MEMO BOARD RETROSPOT  DESIGN,-1,2011-06-01 11:40:00,4.95,14606.0,United Kingdom,06_2011
C555196,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,-1,2011-06-01 11:40:00,3.75,14606.0,United Kingdom,06_2011
C555197,84978,HANGING HEART JAR T-LIGHT HOLDER,-5,2011-06-01 11:45:00,1.06,17739.0,United Kingdom,06_2011
555198,22423,REGENCY CAKESTAND 3 TIER,2,2011-06-01 11:52:00,12.75,15916.0,United Kingdom,06_2011
555198,22038,BOTANICAL LAVENDER GIFT WRAP ,25,2011-06-01 11:52:00,0.42,15916.0,United Kingdom,06_2011
555198,22040,BOTANICAL ROSE GIFT WRAP,25,2011-06-01 11:52:00,0.42,15916.0,United Kingdom,06_2011
555198,84508B,STRIPES DESIGN TEDDY,3,2011-06-01 11:52:00,2.55,15916.0,United Kingdom,06_2011
555198,22625,RED KITCHEN SCALES,2,2011-06-01 11:52:00,8.5,15916.0,United Kingdom,06_2011
555198,84508A,CAMOUFLAGE DESIGN TEDDY,3,2011-06-01 11:52:00,2.55,15916.0,United Kingdom,06_2011
555198,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2011-06-01 11:52:00,12.75,15916.0,United Kingdom,06_2011
555198,22430,ENAMEL WATERING CAN CREAM,2,2011-06-01 11:52:00,4.95,15916.0,United Kingdom,06_2011
555198,22427,ENAMEL FLOWER JUG CREAM,2,2011-06-01 11:52:00,5.95,15916.0,United Kingdom,06_2011
555199,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-06-01 12:05:00,9.95,14606.0,United Kingdom,06_2011
555199,22430,ENAMEL WATERING CAN CREAM,1,2011-06-01 12:05:00,4.95,14606.0,United Kingdom,06_2011
555199,21174,POTTERING IN THE SHED METAL SIGN,1,2011-06-01 12:05:00,2.08,14606.0,United Kingdom,06_2011
555199,84849B,FAIRY SOAP SOAP HOLDER,1,2011-06-01 12:05:00,1.69,14606.0,United Kingdom,06_2011
555199,84849D,HOT BATHS SOAP HOLDER,1,2011-06-01 12:05:00,1.69,14606.0,United Kingdom,06_2011
555199,21781,MA CAMPAGNE CUTLERY BOX,1,2011-06-01 12:05:00,14.95,14606.0,United Kingdom,06_2011
555199,21784,SHOE SHINE BOX ,1,2011-06-01 12:05:00,9.95,14606.0,United Kingdom,06_2011
555199,21242,RED RETROSPOT PLATE ,2,2011-06-01 12:05:00,1.69,14606.0,United Kingdom,06_2011
555199,22109,FULL ENGLISH BREAKFAST PLATE,3,2011-06-01 12:05:00,3.75,14606.0,United Kingdom,06_2011
555199,21935,SUKI  SHOULDER BAG,1,2011-06-01 12:05:00,1.65,14606.0,United Kingdom,06_2011
555199,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,2011-06-01 12:05:00,0.85,14606.0,United Kingdom,06_2011
555199,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-06-01 12:05:00,0.42,14606.0,United Kingdom,06_2011
555199,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,1,2011-06-01 12:05:00,2.1,14606.0,United Kingdom,06_2011
555199,10135,COLOURING PENCILS BROWN TUBE,1,2011-06-01 12:05:00,1.25,14606.0,United Kingdom,06_2011
555199,22318,FIVE HEART HANGING DECORATION,1,2011-06-01 12:05:00,2.95,14606.0,United Kingdom,06_2011
555199,22481,BLACK TEA TOWEL CLASSIC DESIGN,1,2011-06-01 12:05:00,1.25,14606.0,United Kingdom,06_2011
555199,20726,LUNCH BAG WOODLAND,2,2011-06-01 12:05:00,1.65,14606.0,United Kingdom,06_2011
555199,21094,SET/6 RED SPOTTY PAPER PLATES,1,2011-06-01 12:05:00,0.85,14606.0,United Kingdom,06_2011
555199,22241,GARLAND WOODEN HAPPY EASTER,1,2011-06-01 12:05:00,1.25,14606.0,United Kingdom,06_2011
555199,21363,HOME SMALL WOOD LETTERS,1,2011-06-01 12:05:00,4.95,14606.0,United Kingdom,06_2011
555199,22329,ROUND CONTAINER SET OF 5 RETROSPOT,1,2011-06-01 12:05:00,1.65,14606.0,United Kingdom,06_2011
555199,22203,MILK PAN RED RETROSPOT,1,2011-06-01 12:05:00,3.75,14606.0,United Kingdom,06_2011
555199,22197,SMALL POPCORN HOLDER,2,2011-06-01 12:05:00,0.85,14606.0,United Kingdom,06_2011
555199,22349,DOG BOWL CHASING BALL DESIGN,1,2011-06-01 12:05:00,3.75,14606.0,United Kingdom,06_2011
